frame_number,track_id,x1,y1,x2,y2,x_center,y_center
0,1,466.0,212.0,492.0,239.0,479.0,225.5
0,2,368.0,466.0,393.0,480.0,380.5,473.0
0,3,182.0,468.0,209.0,480.0,195.5,474.0
0,4,71.0,242.0,89.0,264.0,80.0,253.0
0,5,293.0,203.0,321.0,232.0,307.0,217.5
0,6,29.0,381.0,55.0,406.0,42.0,393.5
0,7,0.0,343.0,13.0,371.0,6.5,357.0
0,8,12.0,190.0,34.0,213.0,23.0,201.5
0,9,36.0,364.0,61.0,390.0,48.5,377.0
0,10,0.0,269.0,14.0,292.0,7.0,280.5
0,11,441.0,369.0,466.0,395.0,453.5,382.0
0,12,591.0,160.0,616.0,188.0,603.5,174.0
0,13,213.0,189.0,237.0,214.0,225.0,201.5
0,14,529.0,155.0,555.0,182.0,542.0,168.5
0,15,429.0,275.0,453.0,301.0,441.0,288.0
0,16,623.0,81.0,640.0,110.0,631.5,95.5
0,17,8.0,9.0,31.0,32.0,19.5,20.5
0,18,374.0,416.0,399.0,442.0,386.5,429.0
0,19,332.0,435.0,357.0,461.0,344.5,448.0
0,20,119.0,415.0,141.0,438.0,130.0,426.5
0,21,103.0,385.0,125.0,409.0,114.0,397.0
0,22,28.0,307.0,59.0,335.0,43.5,321.0
0,23,58.0,248.0,79.0,269.0,68.5,258.5
0,24,330.0,59.0,350.0,80.0,340.0,69.5
0,25,167.0,45.0,192.0,72.0,179.5,58.5
0,26,220.0,404.0,240.0,427.0,230.0,415.5
0,27,409.0,256.0,429.0,283.0,419.0,269.5
0,28,543.0,206.0,567.0,234.0,555.0,220.0
0,29,521.0,346.0,585.0,398.0,553.0,372.0
1,23,47.123193224090166,245.8864499775508,74.87830497806723,273.11335026216153,61.000749101078696,259.4999001198562
1,30,208.0,96.0,246.0,128.0,227.0,112.0
1,31,631.0,364.0,640.0,391.0,635.5,377.5
1,32,444.0,227.0,472.0,255.0,458.0,241.0
1,33,319.0,103.0,347.0,128.0,333.0,115.5
1,34,224.0,100.0,250.0,125.0,237.0,112.5
1,35,324.0,390.0,346.0,412.0,335.0,401.0
1,36,87.0,54.0,114.0,81.0,100.5,67.5
1,37,473.0,224.0,501.0,251.0,487.0,237.5
1,38,50.0,451.0,75.0,476.0,62.5,463.5
1,39,544.0,134.0,566.0,157.0,555.0,145.5
1,40,97.0,298.0,128.0,329.0,112.5,313.5
1,41,536.0,430.0,566.0,458.0,551.0,444.0
1,42,197.0,309.0,225.0,340.0,211.0,324.5
1,43,429.0,385.0,453.0,411.0,441.0,398.0
1,44,398.0,172.0,422.0,197.0,410.0,184.5
1,45,360.0,57.0,382.0,79.0,371.0,68.0
1,46,493.0,347.0,517.0,371.0,505.0,359.0
1,47,429.0,164.0,455.0,190.0,442.0,177.0
1,48,169.0,433.0,195.0,458.0,182.0,445.5
1,49,417.0,315.0,441.0,338.0,429.0,326.5
1,50,204.0,97.0,232.0,123.0,218.0,110.0
1,51,394.0,155.0,418.0,179.0,406.0,167.0
1,52,164.0,80.0,190.0,105.0,177.0,92.5
1,53,128.0,81.0,153.0,107.0,140.5,94.0
1,54,134.0,10.0,165.0,38.0,149.5,24.0
1,55,76.0,318.0,106.0,346.0,91.0,332.0
1,56,571.0,425.0,594.0,446.0,582.5,435.5
1,57,329.0,346.0,349.0,368.0,339.0,357.0
1,58,300.0,58.0,322.0,81.0,311.0,69.5
1,59,301.0,144.0,325.0,169.0,313.0,156.5
2,27,413.880030854972,264.09254858271106,438.1196192588285,290.90705154734667,425.99982505690025,277.49980006502886
2,31,633.7694127408713,362.8487025311053,640.2302876186973,385.1519966299015,636.9998501797843,374.0003495805034
2,33,316.6955069887838,100.2927204580756,348.30459289136,129.7073794220682,332.5000499400719,115.0000499400719
2,43,431.2501621140141,383.7467788092858,457.7491387249792,411.253321070858,444.4996504194967,397.5000499400719
2,46,494.1197172475639,345.88439697171845,518.8799831120047,370.1158027885692,506.4998501797843,358.0000998801438
2,51,387.8839013563034,159.1231845883601,416.1168976848472,187.87551696977013,402.0003995205753,173.4993507790651
2,60,303.0,112.0,340.0,149.0,321.5,130.5
2,61,0.0,248.0,16.0,271.0,8.0,259.5
2,62,456.0,206.0,482.0,231.0,469.0,218.5
2,63,223.0,79.0,248.0,105.0,235.5,92.0
2,64,346.0,73.0,367.0,92.0,356.5,82.5
2,65,558.0,381.0,582.0,406.0,570.0,393.5
2,66,46.0,153.0,73.0,179.0,59.5,166.0
2,67,111.0,96.0,139.0,124.0,125.0,110.0
2,68,387.0,219.0,413.0,244.0,400.0,231.5
2,69,163.0,33.0,188.0,58.0,175.5,45.5
2,70,362.0,335.0,386.0,358.0,374.0,346.5
2,71,615.0,124.0,638.0,148.0,626.5,136.0
2,72,607.0,452.0,634.0,479.0,620.5,465.5
2,73,248.0,461.0,273.0,480.0,260.5,470.5
2,74,268.0,346.0,293.0,373.0,280.5,359.5
2,75,601.0,90.0,622.0,108.0,611.5,99.0
2,76,416.0,329.0,439.0,353.0,427.5,341.0
2,77,315.0,459.0,339.0,480.0,327.0,469.5
2,78,270.0,79.0,296.0,105.0,283.0,92.0
2,79,164.0,329.0,191.0,356.0,177.5,342.5
2,80,319.0,146.0,347.0,173.0,333.0,159.5
2,81,88.0,346.0,113.0,370.0,100.5,358.0
2,82,455.0,125.0,476.0,148.0,465.5,136.5
2,83,293.0,125.0,323.0,154.0,308.0,139.5
2,84,5.0,215.0,33.0,241.0,19.0,228.0
4,33,319.2699642652887,101.23676910630422,347.3792619631709,128.1320616352578,333.3246131142298,114.68441537078101
4,43,441.1570277435157,377.4684097847477,468.0331013815775,405.692019194781,454.5950645625466,391.58021448976433
4,46,495.9484359285231,345.52932547277413,518.8805466226393,368.1649261031285,507.4144912755812,356.8471257879513
5,43,443.03439325560953,380.53573402187953,472.8962611359058,409.8152682432076,457.96532719575765,395.17550113254356
5,46,497.8526863331722,344.99268881457084,520.4942538377625,367.1302175523224,509.17347008546733,356.0614531834466
6,43,444.8717546882599,381.2778863456086,473.4161895521463,409.9989006942168,459.1439721202031,395.6383935199127
6,46,503.0798786263941,345.4253409996761,525.8956127103228,367.0105296219084,514.4877456683585,356.21793531079226
7,43,447.7527802809645,381.8217058850119,475.2090304530863,409.0956817901623,461.4809053670254,395.45869383758713
7,46,500.84405518935176,343.8972417852107,523.6920509696303,365.84203664453815,512.268053079491,354.86963921487444
8,43,451.3450127121215,382.5181702015116,479.8997259743265,410.3915210692609,465.622369343224,396.4548456353863
8,46,500.51079928718906,343.3783690374711,522.9926217462979,365.4639900163709,511.7517105167435,354.421179526921
8,108,269.87965993543054,465.5759640163767,307.4107218537486,479.52586461070143,288.6451908945896,472.55091431353907
9,43,453.9439103610963,383.3647963139087,482.0335019871424,410.9634964834374,467.98870617411933,397.16414639867304
9,46,500.5582237113748,343.8192122321405,523.1594103909082,366.1291841608567,511.8588170511415,354.9741981964986
9,108,273.48804595973786,464.13502088409547,309.3264467290153,479.1024399703242,291.4072463443766,471.6187304272098
10,43,455.9727319184156,382.5656136535818,483.47451232521775,410.24511215400486,469.7236221218167,396.40536290379333
10,46,503.3574453155178,342.0575704806254,526.4680920190852,364.950474997922,514.9127686673015,353.5040227392737
10,108,276.7593697729821,461.7885399081782,313.6998842746507,478.7221470258022,295.2296270238164,470.2553434669902
11,43,457.2513021168288,380.5943957719988,485.9015568600245,409.63427717424,471.5764294884267,395.1143364731194
11,46,504.9587219916914,340.6711597670892,528.3937646159031,363.9447807440548,516.6762433037973,352.307970255572
11,108,279.95219078374294,460.7560716110765,316.58640479731,478.89600531518346,298.2692977905265,469.82603846313
12,46,507.46817908004135,339.45509393321987,531.114566257554,362.9824387093888,519.2913726687976,351.2187663213043
12,108,283.0156633751632,459.4171993424932,317.6222850352784,478.62185380616825,300.3189742052208,469.0195265743307
13,46,509.35630008683694,339.35104684647774,532.414193472518,362.3241253767459,520.8852467796775,350.8375861116118
13,108,287.302166439782,459.3280616160387,318.76830539545546,478.8795840479731,303.0352359176187,469.1038228320059
14,46,510.2810518590727,338.74592529502337,533.2441043296708,361.3701056578079,521.7625780943717,350.0580154764157
14,108,291.4306122806604,454.2036576624413,321.21373601410994,474.66188000812224,306.32217414738517,464.43276883528176
15,46,510.8663706190417,339.7325664903832,534.5392736895955,363.1494973580027,522.7028221543186,351.44103192419294
15,108,300.5925540509032,448.78349563153256,329.0870201098523,469.9825913272017,314.83978708037773,459.38304347936713
16,46,510.7595575759013,341.34734283284115,534.6007499652627,365.2561887002428,522.680153770582,353.30176576654196
16,108,312.0886294291011,445.7339988821057,339.7597925223601,468.0454381386266,325.9242109757306,456.88971851036615
17,46,511.29004236377176,341.4116147222262,535.2814808747719,365.9640143181623,523.2857616192719,353.68781452019425
17,108,319.2443044136785,441.2820957135162,346.6257745271638,464.7878811070988,332.93503947042115,453.0349884103075
17,375,478.5997076615477,343.45261180976127,505.8750977040963,371.3100860048752,492.237402682822,357.3813489073182
18,46,512.1106148108757,341.1506120454916,536.1536036827541,365.8730092120751,524.1321092468149,353.51181062878334
18,108,322.5660218529291,437.9431311781596,349.5897543029536,462.06453625270126,336.07788807794134,450.00383371543046
18,378,480.52120445244896,343.97995182229346,509.200692787148,372.1306045509985,494.8609486197985,358.055278186646
19,378,484.7735847446504,343.3864738080845,512.0925093232238,370.9571593918765,498.4330470339371,357.1718165999805
20,378,488.14205857301147,335.13870783324785,517.240901224966,364.96522903775326,502.69147989898875,350.05196843550056
21,498,99.92456861112969,307.0226888973225,123.8344854775306,330.9773542360612,111.87952704433015,319.0000215666919
22,525,288.78568413650646,47.569792189116384,318.3296763621955,76.54561144296933,303.557680249351,62.05770181604286
23,525,289.7245001154381,45.58025307148846,319.0027055559174,74.46138357268892,304.36360283567774,60.02081832208869
24,378,497.5694947092487,325.57839973942845,525.9466532350552,353.96364594394794,511.758073972152,339.7710228416882
24,525,287.4484347232604,46.85817146400461,318.1855323150373,77.29610899094047,302.81698351914883,62.07714022747254
24,566,362.6799201498673,431.3662201838821,387.6909694720868,455.5557830273089,375.18544481097706,443.46100160559547
25,378,501.094018054614,325.8988939749526,528.67152568754,353.48207469762866,514.882771871077,339.69048433629064
25,525,286.74766425925577,46.64264047530917,315.7808001491785,75.47121547528775,301.26423220421714,61.056927975298464
26,378,501.8923436993437,325.72219331237443,529.304321425284,353.1382625378054,515.5983325623139,339.4302279250899
26,525,288.0738459141042,45.338493336941454,318.3384257881891,75.44803432582486,303.20613585114666,60.39326383138316
27,378,502.4460930540209,326.29918225440707,529.069846624799,353.20778280302767,515.75796983941,339.75348252871737
27,525,289.43532058054865,40.73469315813455,321.1946226466965,72.1093926692635,305.31497161362256,56.42204291369902
28,378,502.5048756132292,326.29639897946373,529.6031395623584,353.60530363645165,516.0540075877938,339.9508513079577
28,525,296.52645547300204,35.55582069113343,327.2025464773328,65.66047387967134,311.8645009751674,50.60814728540238
28,665,552.2932695869619,166.12674786925362,576.3001702912112,188.3697335473084,564.2967199390865,177.248240708281
29,378,502.2958092261559,326.2212346620634,531.189524479363,355.2783837402607,516.7426668527594,340.74980920116207
29,525,297.94326290556177,30.05080744322809,327.9097165308929,59.60813546852046,312.92648971822734,44.82947145587428
